"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar Agencia dos Correios de Acordo com um endereco","A busca comeca","SUCCESS","2018-01-22T13:47:39.025-02:00","0.0","22.36"
"Cadastrar um usuario no site Automation Practice","Cadastrar usuario um","SUCCESS","2018-01-18T11:58:41.335-02:00","0.0","48.24"
"Buscar Endereco nos Correios passando CEP","Comeco o teste","SUCCESS","2018-01-19T11:04:34.115-02:00","0.0","12.09"
"Comprar Ingresso Thermas dos Laranjais","Comprar Ingresso Thermas dos Laranjais","SUCCESS","2018-01-24T11:56:03.463-02:00","0.0","78.35"
"Adicionar Geladeira Brastemp ao Carrinho","Para Adicionar uma geladeira ao carrinho","SUCCESS","2018-01-28T19:45:01.991-02:00","0.0","128.56"
"Acessar aba de vantagens do cartão Sou Barato","Para acessa a aba","SUCCESS","2018-01-28T21:18:22.294-02:00","0.0","40.23"
"Adicionar um Iphone ao Carrinho","Para adicionar um Iphone ao carrinho","SUCCESS","2018-01-28T20:24:04.299-02:00","0.0","89.33"
"Adicionar ao carrinho um item da seção Produtos Reembalados","Para adicionar um item ao carrinho","SUCCESS","2018-01-28T18:25:57.576-02:00","0.0","281.68"
"Calcular Frete de qualquer produto até a RSI Osasco","Para calcular o frete","SUCCESS","2018-01-28T21:43:33.071-02:00","0.0","59.69"
"Pesquisar selecionar um hotel cinco estrelas no Rio de Janeiro","Pesquisa no Hotel Urbano por um hotel cinco estrelas","ERROR","2018-01-24T08:30:54.026-02:00","0.0","60.44"
"Pesquisar e selecionar um hotel cinco estrelas no Rio de Janeiro","Pesquisa no Hotel Urbano por um hotel cinco estrelas","SUCCESS","2018-01-24T08:36:49.828-02:00","0.0","71.12"
"Reservar uma diaria um hotel cinco estrelas em São Paulo","Pesquisa no Hotel Urbano por um hotel cinco estrelas e fazer uma diaria","SUCCESS","2018-01-26T13:58:15.524-02:00","0.0","68.14"
"Pesquisar voos de São Paulo para Salvador","Pesquisar voos de São Paulo para Salvador","SUCCESS","2018-01-24T10:35:15.118-02:00","0.0","48.33"
"Buscar Endereco nos Correios passando CEP","Teste de Buscar Endereco nos Correios passando CEP","SUCCESS","2018-01-19T11:12:52.690-02:00","0.0","12.3"
"Selecionar Precos e Prazos da RSI Osasco a RSI Alphaville","Teste para Selecionar Precos e Prazos da RSI Osasco e RSI Alphaville","SUCCESS","2018-01-22T14:00:36.520-02:00","0.0","28.71"
"Selecionar Precos e Prazos um CEP A a CEP B","Teste para Selecionar Precos e Prazos um CEP A a CEP B","SUCCESS","2018-01-22T10:11:38.686-02:00","0.0","25.88"
